UPI Remitter Banks,Year,Month,Total Volume (In Mn),Approved %,BD %	,	TD%,Total Debit Reversal Count (In Mn),Debit Reversal Success %
Karnataka Bank,2022,12,67.08,91.40%,7.76%,0.84%,0.34,86.90%
IDFC First Bank,2022,12,66.27,92.59%,5.95%,1.46%,0.31,82.55%
Fino Payments Bank,2022,12,58.33,82.72%,16.02%,1.25%,0.39,67.43%
YES Bank,2022,12,48.46,92.60%,6.72%,0.68%,0.31,94.40%
Karur Vysya Bank,2022,12,43.7,91.30%,7.29%,1.41%,0.27,49.34%
South Indian Bank,2022,12,34.0,93.02%,5.39%,1.59%,0.15,89.88%
Bandhan Bank,2022,12,33.77,89.66%,8.33%,2.01%,0.18,90.10%
City Union Bank,2022,12,24.42,92.51%,6.51%,0.98%,0.14,84.01%
Equitas Bank,2022,12,23.33,85.78%,13.19%,1.03%,0.35,37.35%
Jammu and Kashmir Bank,2022,12,22.34,88.91%,7.85%,3.24%,0.13,91.73%
Ujjivan Small Finance Bank,2022,12,22.1,87.15%,7.48%,5.36%,0.16,48.84%
AU Small Finance Bank,2022,12,21.24,93.14%,5.81%,1.05%,0.09,88.71%
Tamilnad Mercantile Bank,2022,12,20.67,91.71%,8.06%,0.24%,0.13,53.45%
DBS Bank,2022,12,20.13,93.49%,4.71%,1.80%,0.07,98.94%
Punjab and Sind Bank,2022,12,20.12,83.64%,9.77%,6.59%,0.17,67.49%
Standard Chartered,2022,12,19.53,96.71%,2.74%,0.55%,0.08,82.40%
CITI Bank,2022,12,19.24,94.91%,4.13%,0.97%,0.15,44.43%
Andhra Pradesh Grameena Vikas Bank,2022,12,17.34,82.80%,13.36%,3.84%,0.1,93.76%
Maharashtra Gramin Bank,2022,12,16.64,71.35%,23.55%,5.10%,0.2,31.55%
Pragathi Krishna Gramin Bank,2022,12,16.46,84.14%,13.76%,2.10%,0.19,40.99%
Saraswat Bank,2022,12,15.79,95.72%,3.58%,0.69%,0.16,41.02%
Kerala Gramin Bank,2022,12,14.09,87.55%,11.16%,1.29%,0.07,83.59%
ESAF Small Finance Bank Ltd,2022,12,12.97,84.18%,13.67%,2.15%,0.11,84.66%
Rajasthan Marudhara Gramin Bank,2022,12,12.33,81.74%,12.24%,6.03%,0.09,62.81%
Sarva Haryana Gramin Bank,2022,12,11.05,76.50%,16.82%,6.68%,0.07,98.88%
Andhra Pragathi Grameena Bank,2022,12,10.58,79.84%,14.92%,5.24%,0.07,70.93%
RBL,2022,12,10.28,88.19%,7.50%,4.30%,0.09,56.49%
Baroda U.P. Bank,2022,12,8.57,82.44%,13.17%,4.40%,0.09,56.53%
Baroda Rajasthan Kshetriya Gramin Bank,2022,12,7.68,85.52%,11.49%,2.99%,0.17,47.53%
State Bank of India,2023,12,3073.18,95.23%,4.34%,0.43%,12.75,83.74%
HDFC Bank,2023,12,1040.77,96.50%,3.44%,0.06%,3.63,97.57%
Bank of Baroda,2023,12,766.81,94.55%,4.94%,0.51%,3.3,87.02%
Union Bank of India,2023,12,745.87,94.86%,4.38%,0.76%,5.38,59.66%
Punjab National Bank,2023,12,607.36,95.25%,4.59%,0.17%,2.35,97.94%
Kotak Mahindra Bank,2023,12,588.94,94.40%,5.11%,0.49%,2.47,68.44%
Canara Bank,2023,12,563.67,94.26%,5.38%,0.37%,2.43,86.37%
Axis Bank,2023,12,562.18,96.43%,3.57%,0.01%,1.67,87.70%
ICICI Bank,2023,12,556.61,96.39%,3.28%,0.33%,2.06,82.59%
Paytm Payments Bank,2023,12,410.19,96.37%,3.63%,0.00%,0.79,97.55%
Bank of India,2023,12,384.87,95.78%,4.03%,0.18%,1.47,86.96%
Indian Bank,2023,12,338.76,95.28%,4.52%,0.20%,1.19,90.68%
Airtel Payments Bank,2023,12,320.02,88.41%,8.15%,3.43%,3.34,0.00%
India Post Payment Bank,2023,12,247.32,82.43%,11.85%,5.72%,2.43,32.30%
Federal Bank,2023,12,184.64,95.56%,4.34%,0.10%,0.49,98.15%
Central Bank of India,2023,12,177.99,86.46%,11.95%,1.59%,1.98,82.45%
Indian Overseas Bank,2023,12,160.68,93.86%,4.42%,1.72%,1.06,91.36%
UCO Bank,2023,12,147.86,94.38%,5.06%,0.56%,0.7,68.51%
IDBI Bank,2023,12,139.37,94.99%,3.80%,1.21%,0.84,90.96%
Bank of Maharashtra,2023,12,133.33,94.32%,4.68%,1.00%,0.57,75.93%
IndusInd Bank,2023,12,120.3,92.92%,6.12%,0.97%,0.76,88.04%
Fino Payments Bank,2023,12,107.84,90.01%,8.54%,1.45%,0.49,71.76%
YES Bank,2023,12,97.36,95.39%,4.51%,0.10%,0.22,96.73%
Karnataka Bank,2023,12,96.35,92.95%,5.48%,1.57%,0.54,52.69%
IDFC First Bank,2023,12,75.11,93.58%,6.38%,0.04%,0.25,90.45%
Karur Vysya Bank,2023,12,58.61,93.73%,5.71%,0.56%,0.29,97.83%
South Indian Bank,2023,12,48.8,96.11%,3.82%,0.08%,0.12,97.34%
Jammu and Kashmir Bank,2023,12,48.75,69.74%,25.78%,4.48%,0.65,13.43%
Bandhan Bank,2023,12,47.39,92.57%,6.71%,0.72%,0.2,98.39%
Ujjivan Small Finance Bank,2023,12,36.67,93.65%,5.57%,0.78%,0.19,68.80%
AU Small Finance Bank,2023,12,36.18,94.68%,4.30%,1.02%,0.26,99.01%
City Union Bank,2023,12,34.96,93.56%,6.10%,0.34%,0.11,94.31%
Tri O Tech Solutions Private Limited,2023,12,34.24,100.00%,0.00%,0.00%,,
Punjab and Sind Bank,2023,12,31.5,89.74%,6.25%,4.01%,0.57,24.84%
Tamilnad Mercantile Bank,2023,12,30.97,94.34%,5.15%,0.51%,0.12,89.05%
Equitas Bank,2023,12,28.13,93.09%,6.89%,0.02%,0.1,97.07%
Standard Chartered,2023,12,27.13,95.82%,2.10%,2.08%,0.19,48.75%
Kerala Gramin Bank,2023,12,25.29,93.63%,6.11%,0.27%,0.08,92%
DBS Bank,2023,12,24.94,95.90%,4.08%,0.02%,0.08,78.43%
Andhra Pradesh Grameena Vikas Bank,2023,12,24.85,88.05%,10.56%,1.39%,0.1,76.31%
Pragathi Krishna Gramin Bank,2023,12,23.88,91.21%,8.32%,0.46%,0.11,89%
Maharashtra Gramin Bank,2023,12,22.04,85.60%,10.75%,3.65%,0.09,67.31%
Saraswat Bank,2023,12,21.7,94.44%,4.88%,0.68%,0.09,67.20%
Baroda U.P. Bank,2023,12,20.77,51.12%,9.10%,39.78%,2.65,13%
CITI Bank,2023,12,20.47,96.75%,3.06%,0.19%,0.07,98%
ESAF Small Finance Bank Ltd,2023,12,19.79,94.55%,5.13%,0.31%,0.08,93.77%
HDFC Bank,2023,12,19.02,94.17%,5.61%,0.21%,0.16,97.49%
Rajasthan Marudhara Gramin Bank,2023,12,18.75,87.95%,10.82%,1.23%,0.09,69.57%
Fincare Small Finance Bank,2023,12,16.01,87.76%,11.47%,0.76%,0.07,92.37%
RBL,2023,12,14.97,80.11%,6.09%,13.80%,0.25,39.77%
State Bank of India,2022,2,1242.45,90.66%,6.79%,2.55%,11.28,75.33%
HDFC Bank,2022,2,400.52,94.62%,5.20%,0.19%,2.37,96.32%
Bank of Baroda,2022,2,294.86,92.42%,6.89%,0.69%,1.83,96.92%
Union Bank of India,2022,2,280.49,90.55%,8.32%,1.14%,3.52,47.42%
Paytm Payments Bank,2022,2,263.34,95.18%,4.75%,0.07%,1.06,94.64%
ICICI Bank,2022,2,259.62,94.42%,5.30%,0.28%,1.55,88.66%
Axis Bank,2022,2,248.03,95.45%,4.18%,0.36%,1.68,67.14%
Punjab National Bank,2022,2,207.63,92.73%,6.00%,1.27%,2.57,80.38%
Canara Bank,2022,2,204.75,92.88%,6.72%,0.39%,1.31,86.79%
Kotak Mahindra Bank,2022,2,187.06,92.90%,5.67%,1.44%,2.46,83.89%
Bank of India,2022,2,166.31,92.90%,5.19%,1.91%,2.21,45.86%
Indian Bank,2022,2,114.49,87.11%,6.59%,6.30%,3.55,34.70%
Central Bank of India,2022,2,91.62,91.53%,6.88%,1.59%,1.58,76.30%
Federal Bank,2022,2,65.0,94.00%,5.48%,0.52%,0.41,86.47%
IDBI Bank,2022,2,64.77,95.29%,4.43%,0.29%,0.43,90.67%
Airtel Payments Bank,2022,2,61.39,86.12%,12.37%,1.52%,0.64,72.15%
Bank of Maharashtra,2022,2,58.24,94.00%,5.15%,0.86%,0.34,80.07%
Indian Overseas Bank,2022,2,56.56,92.81%,5.94%,1.25%,0.82,72.03%
YES Bank,2022,2,53.95,94.68%,5.05%,0.28%,0.11,67.70%
UCO Bank,2022,2,48.24,92.84%,6.30%,0.86%,0.51,64.59%
India Post Payment Bank,2022,2,46.47,80.74%,16.11%,3.15%,1.1,28.20%
Karnataka Bank,2022,2,42.93,90.88%,7.75%,1.37%,0.39,45.48%
IndusInd Bank,2022,2,39.64,91.72%,7.72%,0.56%,0.33,88.87%
Karur Vysya Bank,2022,2,27.14,90.89%,8.51%,0.60%,0.23,78.40%
IDFC First Bank,2022,2,26.84,92.84%,6.33%,0.83%,0.23,56.43%
Fino Payments Bank,2022,2,23.81,81.19%,15.88%,2.93%,0.24,91.90%
South Indian Bank,2022,2,19.25,91.98%,7.80%,0.22%,0.09,97.15%
Bandhan Bank,2022,2,19.15,89.28%,9.68%,1.03%,0.17,14.19%
DBS Bank,2022,2,16.64,93.77%,5.90%,0.33%,0.09,81.62%
City Union Bank,2022,2,14.32,91.96%,6.58%,1.46%,0.18,91.15%
Equitas Bank,2022,2,13.88,83.73%,15.31%,0.96%,0.12,78.93%
CITI Bank,2022,2,13.65,94.96%,4.88%,0.17%,0.04,99.05%
Standard Chartered,2022,2,11.92,96.44%,3.07%,0.48%,0.07,81.27%
Ujjivan Small Finance Bank,2022,2,11.81,88.80%,7.89%,3.31%,0.3,34.40%
Tamilnad Mercantile Bank,2022,2,10.92,90.18%,8.92%,0.90%,0.14,42.89%
Andhra Pradesh Grameena Vikas Bank,2022,2,10.71,78.91%,15.80%,5.29%,0.12,21.53%
AU Small Finance Bank,2022,2,10.51,93.36%,6.38%,0.26%,0.08,0.02%
Pragathi Krishna Gramin Bank,2022,2,10.41,85.79%,10.82%,3.39%,0.17,50.63%
Maharashtra Gramin Bank,2022,2,10.27,77.38%,14.62%,8.00%,0.16,19.94%
Jammu and Kashmir Bank,2022,2,10.04,86.27%,9.24%,4.49%,0.21,28.76%
Saraswat Bank,2022,2,9.79,94.30%,4.08%,1.62%,0.14,56.48%
Punjab and Sind Bank,2022,2,9.72,83.04%,12.94%,4.02%,0.14,50.51%
Andhra Pragathi Grameena Bank,2022,2,7.44,69.16%,26.39%,4.45%,0.21,9.48%
Rajasthan Marudhara Gramin Bank,2022,2,7.25,80.18%,15.08%,4.74%,0.18,12.98%
Kerala Gramin Bank,2022,2,7.02,87.02%,11.90%,1.09%,0.06,76.84%
ESAF Small Finance Bank Ltd,2022,2,6.49,87.36%,10.65%,1.99%,0.05,85.68%
RBL,2022,2,6.08,91.62%,7.83%,0.55%,0.04,88.13%
Baroda Rajasthan Kshetriya Gramin Bank,2022,2,5.94,81.09%,8.47%,10.44%,0.28,12.84%
Sarva Haryana Gramin Bank,2022,2,5.82,85.73%,11.06%,3.20%,0.1,73.42%
Karnataka Vikas Grameena Bank,2022,2,5.15,82.04%,13.75%,4.21%,0.11,13.28%
State Bank of India,2023,2,1987.68,89.00%,6.43%,4.57%,18.42,81.67%
HDFC Bank,2023,2,681.04,95.96%,3.76%,0.28%,2.93,93.36%
Bank of Baroda,2023,2,502.38,92.92%,5.81%,1.28%,2.83,88.16%
Union Bank of India,2023,2,472.1,93.64%,4.96%,1.40%,4.03,54.32%
ICICI Bank,2023,2,397.14,96.50%,3.29%,0.21%,1.27,93.18%
Axis Bank,2023,2,367.84,95.47%,4.50%,0.04%,1.26,89.52%
Paytm Payments Bank,2023,2,360.42,96.17%,3.77%,0.06%,0.84,92.69%
Kotak Mahindra Bank,2023,2,358.4,93.36%,5.26%,1.38%,1.7,66.32%
Canara Bank,2023,2,354.92,93.13%,6.21%,0.66%,2.21,83.96%
Punjab National Bank,2023,2,351.6,94.68%,4.98%,0.33%,1.7,96.95%
Bank of India,2023,2,258.24,95.35%,4.34%,0.32%,1.23,84.48%
Indian Bank,2023,2,202.78,93.39%,5.11%,1.49%,1.49,67.72%
Airtel Payments Bank,2023,2,162.94,86.21%,13.11%,0.67%,0.91,93.03%
India Post Payment Bank,2023,2,154.66,57.40%,23.33%,19.26%,6.49,31.89%
Federal Bank,2023,2,127.02,94.17%,5.34%,0.48%,0.53,86.60%
Central Bank of India,2023,2,123.73,90.05%,8.78%,1.18%,1.16,74.98%
Indian Overseas Bank,2023,2,100.8,94.23%,5.30%,0.47%,0.48,94.74%
IDBI Bank,2023,2,97.58,94.77%,4.02%,1.20%,0.57,86.98%
Bank of Maharashtra,2023,2,89.07,94.51%,4.68%,0.81%,0.36,86.51%
UCO Bank,2023,2,87.9,93.47%,5.87%,0.66%,0.5,79.26%
IndusInd Bank,2023,2,72.18,93.90%,5.89%,0.21%,0.33,96.05%
IDFC First Bank,2023,2,67.51,91.83%,4.93%,3.24%,0.64,35.14%
YES Bank,2023,2,66.76,95.49%,4.13%,0.38%,0.17,92.30%
Fino Payments Bank,2023,2,66.29,76.37%,15.66%,7.97%,1.62,47.82%
Karnataka Bank,2023,2,62.94,90.29%,7.59%,2.11%,0.34,53.91%
Karur Vysya Bank,2023,2,40.92,92.07%,6.79%,1.14%,0.21,80.44%
Bandhan Bank,2023,2,33.89,85.65%,11.75%,2.60%,0.4,77.08%
South Indian Bank,2023,2,32.46,93.93%,5.15%,0.92%,0.16,67.41%
City Union Bank,2023,2,23.61,92.89%,6.25%,0.86%,0.1,94.83%
Jammu and Kashmir Bank,2023,2,23.46,88.47%,6.49%,5.03%,0.32,43.97%
Equitas Bank,2023,2,21.75,89.06%,10.50%,0.44%,0.1,93.42%
Ujjivan Small Finance Bank,2023,2,21.17,92.25%,6.71%,1.05%,0.14,63.25%
AU Small Finance Bank,2023,2,20.98,94.57%,5.36%,0.07%,0.1,96.90%
Tamilnad Mercantile Bank,2023,2,20.22,90.23%,8.07%,1.71%,0.1,65.78%
DBS Bank,2023,2,20.16,95.38%,4.21%,0.41%,0.08,87.64%
Punjab and Sind Bank,2023,2,19.12,86.81%,12.41%,0.78%,0.13,78.29%
Standard Chartered,2023,2,18.03,96.88%,2.54%,0.58%,0.07,91.16%
CITI Bank,2023,2,16.98,95.34%,3.70%,0.95%,0.06,94.69%
Andhra Pradesh Grameena Vikas Bank,2023,2,16.28,80.56%,12.46%,6.98%,0.17,32.54%
Saraswat Bank,2023,2,15.08,95.25%,3.36%,1.39%,0.04,84.80%
Pragathi Krishna Gramin Bank,2023,2,15.04,87.61%,10.88%,1.50%,0.14,81.24%
Maharashtra Gramin Bank,2023,2,14.93,82.05%,15.61%,2.34%,0.12,48.33%
Kerala Gramin Bank,2023,2,14.21,89.20%,10.23%,0.57%,0.07,91.07%
ESAF Small Finance Bank Ltd,2023,2,13.6,77.06%,21.90%,1.04%,0.06,85.84%
Rajasthan Marudhara Gramin Bank,2023,2,12.76,80.63%,10.95%,8.41%,0.09,48.40%
RBL,2023,2,10.51,93.16%,6.49%,0.35%,0.04,95.27%
Andhra Pragathi Grameena Bank,2023,2,10.06,77.17%,14.54%,8.29%,0.11,23.55%
Sarva Haryana Gramin Bank,2023,2,10.03,83.21%,7.66%,9.13%,0.25,17.54%
Baroda U.P. Bank,2023,2,8.91,85.45%,12.15%,2.39%,0.06,75.51%
Baroda Rajasthan Kshetriya Gramin Bank,2023,2,7.42,82.62%,11.38%,6.00%,0.07,45.77%
State Bank of India,2024,2,3135.27,94.83%,4.23%,0.94%,13.94,90.58%
HDFC Bank,2024,2,1049.59,95.71%,3.60%,0.69%,5.35,75.52%
Bank of Baroda,2024,2,786.15,93.46%,5.51%,1.03%,3.8,90.07%
Union Bank of India,2024,2,754.01,93.80%,4.52%,1.68%,6.41,38.65%
Punjab National Bank,2024,2,628.99,94.85%,4.90%,0.25%,2.5,97.32%
ICICI Bank,2024,2,539.76,96.39%,3.32%,0.29%,2.21,90.34%
Axis Bank,2024,2,558.18,96.29%,3.66%,0.05%,1.95,83.76%
Kotak Mahindra Bank,2024,2,609.79,93.10%,5.48%,1.42%,2.22,85.84%
Canara Bank,2024,2,578.21,94.12%,5.42%,0.45%,3.13,84.99%
Paytm Payments Bank,2024,2,294.2,94.39%,5.60%,0.01%,0.66,98.30%
Bank of India,2024,2,389.19,94.55%,4.55%,0.90%,2.12,67.73%
Indian Bank,2024,2,354.82,95.10%,4.63%,0.27%,1.34,92.06%
Airtel Payments Bank,2024,2,344.18,91.11%,8.65%,0.24%,1.3,94.30%
India Post Payment Bank,2024,2,271.05,83.20%,13.00%,3.81%,2.05,52.38%
Federal Bank,2024,2,187.9,95.30%,4.44%,0.26%,0.69,94.65%
Central Bank of India,2024,2,179.35,82.62%,9.59%,7.80%,4.98,58.09%
Indian Overseas Bank,2024,2,168.4,93.49%,4.67%,1.84%,1.15,90.23%
UCO Bank,2024,2,148.69,94.51%,5.38%,0.11%,0.63,87.67%
IDBI Bank,2024,2,138.33,89.05%,4.39%,6.56%,2.3,71.66%
Bank of Maharashtra,2024,2,135.58,91.92%,4.82%,3.26%,0.92,61.29%
IndusInd Bank,2024,2,129.68,93.37%,5.92%,0.71%,0.91,95.30%
Fino Payments Bank,2024,2,116.25,90.66%,8.85%,0.49%,0.6,69.94%
YES Bank,2024,2,93.4,94.70%,5.06%,0.24%,0.28,86.09%
Karnataka Bank,2024,2,95.34,93.42%,5.76%,0.82%,0.41,84.09%
Karur Vysya Bank,2024,2,60.33,94.05%,5.44%,0.50%,0.25,95.11%
Bandhan Bank,2024,2,49.32,89.80%,6.16%,4.04%,0.56,74.85%
South Indian Bank,2024,2,48.87,96.05%,3.93%,0.02%,0.14,95.53%
IDFC First Bank,2024,2,74.34,93.92%,5.96%,0.11%,0.28,100.00%
Jammu and Kashmir Bank,2024,2,46.57,93.54%,5.16%,1.30%,0.46,35.63%
City Union Bank,2024,2,36.62,93.36%,6.21%,0.43%,0.14,98.29%
Ujjivan Small Finance Bank,2024,2,37.9,93.71%,5.66%,0.63%,0.21,67.81%
AU Small Finance Bank,2024,2,38.8,95.09%,4.54%,0.37%,0.21,95.33%
Tamilnad Mercantile Bank,2024,2,32.68,93.01%,6.45%,0.54%,0.12,84.51%
Equitas Bank,2024,2,28.88,93.09%,6.87%,0.04%,0.13,96.46%
Standard Chartered,2024,2,26.59,95.99%,2.23%,1.78%,0.14,67.12%
Punjab and Sind Bank,2024,2,31.49,90.85%,6.00%,3.16%,0.4,39.67%
DBS Bank,2024,2,24.28,95.35%,4.37%,0.27%,0.09,77.88%
Andhra Pradesh Grameena Vikas Bank,2024,2,26.19,83.85%,15.19%,0.96%,0.14,65%
Pragathi Krishna Gramin Bank,2024,2,23.1,88.69%,7.67%,3.64%,0.38,43.13%
CITI Bank,2024,2,18.92,95.17%,4.45%,0.37%,0.07,96.14%
Maharashtra Gramin Bank,2024,2,22.28,86.73%,11.53%,1.75%,0.09,82%
Kerala Gramin Bank,2024,2,25.18,90.99%,6.13%,2.88%,0.31,40.08%
Saraswat Bank,2024,2,21.03,95.96%,3.78%,0.25%,0.08,83.40%
Tri O Tech Solutions Private Limited,2024,2,37.89,100.00%,0.00%,0.00%,0.0,0%
Rajasthan Marudhara Gramin Bank,2024,2,20.23,88.60%,10.75%,0.66%,0.13,71%
ESAF Small Finance Bank Ltd,2024,2,20.59,91.09%,4.91%,3.99%,0.24,71.75%
Baroda U.P. Bank,2024,2,17.1,79.41%,12.40%,8.19%,0.4,44.55%
Sarva Haryana Gramin Bank,2024,2,14.14,93.02%,6.95%,0.03%,0.06,95.68%
RBL,2024,2,15.27,81.63%,8.31%,10.06%,0.26,47.24%
Andhra Pragathi Grameena Bank,2024,2,14.92,87.07%,11.97%,0.96%,0.07,79.19%
State Bank of India,2022,1,1291.88,91.70%,7.10%,1.21%,8.17,95.66%
HDFC Bank,2022,1,406.61,94.01%,5.71%,0.29%,2.52,91.30%
Bank of Baroda,2022,1,299.12,92.13%,7.38%,0.49%,1.55,98.88%
Union Bank of India,2022,1,287.21,90.21%,8.82%,0.97%,3.17,46.80%
ICICI Bank,2022,1,274.0,95.14%,4.69%,0.17%,1.22,69.88%
Paytm Payments Bank,2022,1,262.28,94.95%,4.97%,0.08%,1.06,94.04%
Axis Bank,2022,1,243.68,95.25%,4.49%,0.25%,0.96,97.79%
Punjab National Bank,2022,1,213.48,92.49%,6.90%,0.61%,1.67,90.03%
Canara Bank,2022,1,206.3,92.47%,7.05%,0.47%,1.26,92.99%
Kotak Mahindra Bank,2022,1,186.34,94.30%,5.42%,0.29%,0.93,86.27%
Bank of India,2022,1,171.56,93.02%,5.38%,1.60%,1.82,50.40%
Indian Bank,2022,1,115.76,88.38%,6.29%,5.33%,4.23,40.42%
Central Bank of India,2022,1,95.53,90.13%,6.97%,2.90%,2.34,63.32%
IDBI Bank,2022,1,66.58,94.57%,4.69%,0.75%,0.57,64.13%
Federal Bank,2022,1,62.84,93.07%,5.39%,1.55%,0.55,71.18%
Airtel Payments Bank,2022,1,62.35,86.08%,11.94%,1.98%,0.59,72.95%
Bank of Maharashtra,2022,1,59.9,93.98%,5.36%,0.66%,0.33,83.88%
Indian Overseas Bank,2022,1,56.35,93.65%,6.03%,0.32%,0.36,85.81%
YES Bank,2022,1,49.25,93.93%,5.92%,0.15%,0.11,95.73%
UCO Bank,2022,1,48.84,91.28%,7.47%,1.25%,0.56,52.87%
India Post Payment Bank,2022,1,46.7,76.03%,17.56%,6.42%,2.33,15.73%
Karnataka Bank,2022,1,43.45,88.64%,8.92%,2.44%,0.5,32.26%
IndusInd Bank,2022,1,39.77,90.66%,8.82%,0.52%,0.27,92.96%
IDFC First Bank,2022,1,27.57,92.69%,6.07%,1.24%,0.36,32.94%
Karur Vysya Bank,2022,1,27.44,90.87%,8.20%,0.93%,0.25,66.96%
Fino Payments Bank,2022,1,23.19,78.89%,18.67%,2.44%,0.21,99.04%
Bandhan Bank,2022,1,19.49,87.73%,10.99%,1.28%,0.17,14.62%
South Indian Bank,2022,1,19.31,92.59%,7.17%,0.24%,0.08,95.71%
DBS Bank,2022,1,17.27,92.94%,5.77%,1.29%,0.14,53.46%
City Union Bank,2022,1,14.54,89.16%,6.49%,4.35%,0.32,66.19%
CITI Bank,2022,1,14.16,94.68%,4.59%,0.72%,0.07,99.50%
Equitas Bank,2022,1,13.53,83.50%,15.72%,0.78%,0.1,82.94%
Andhra Pradesh Grameena Vikas Bank,2022,1,12.37,67.73%,17.88%,14.39%,0.59,5.74%
Standard Chartered,2022,1,12.23,94.56%,3.44%,2.00%,0.11,50.59%
Ujjivan Small Finance Bank,2022,1,11.96,89.62%,7.81%,2.57%,0.22,36.94%
Tamilnad Mercantile Bank,2022,1,10.67,90.33%,8.76%,0.91%,0.11,38.94%
Maharashtra Gramin Bank,2022,1,10.52,82.13%,15.25%,2.62%,0.19,15.73%
AU Small Finance Bank,2022,1,10.33,92.78%,6.36%,0.86%,0.11,0.03%
Saraswat Bank,2022,1,10.21,94.69%,4.89%,0.43%,0.06,74.07%
Pragathi Krishna Gramin Bank,2022,1,10.21,87.48%,11.41%,1.11%,0.08,64.09%
Jammu and Kashmir Bank,2022,1,9.8,89.15%,9.41%,1.43%,0.07,79.09%
Punjab and Sind Bank,2022,1,9.6,88.55%,11.08%,0.37%,0.07,89.90%
Andhra Pragathi Grameena Bank,2022,1,8.63,61.73%,33.23%,5.04%,0.26,5.75%
Rajasthan Marudhara Gramin Bank,2022,1,7.57,75.62%,14.19%,10.19%,0.32,7.37%
Kerala Gramin Bank,2022,1,7.18,87.13%,12.14%,0.73%,0.04,87.28%
ESAF Small Finance Bank Ltd,2022,1,6.81,84.30%,11.88%,3.81%,0.05,75.80%
RBL,2022,1,6.05,91.98%,7.87%,0.15%,0.03,92.58%
Baroda Rajasthan Kshetriya Gramin Bank,2022,1,5.75,87.79%,9.44%,2.77%,0.09,33.87%
Sarva Haryana Gramin Bank,2022,1,5.65,88.63%,8.19%,3.19%,0.09,79.14%
Telangana Grameena bank,2022,1,5.26,78.85%,15.20%,5.96%,0.16,7.75%
State Bank of India,2023,1,2153.2,91.62%,6.19%,2.20%,12.0,96.00%
HDFC Bank,2023,1,708.14,95.29%,4.37%,0.35%,2.61,97.71%
Bank of Baroda,2023,1,522.75,93.00%,6.12%,0.87%,2.83,82.99%
Union Bank of India,2023,1,500.43,93.00%,6.60%,0.40%,2.31,81.66%
ICICI Bank,2023,1,421.23,95.62%,3.34%,1.04%,2.22,91.47%
Axis Bank,2023,1,390.33,95.64%,3.88%,0.48%,1.24,90.07%
Paytm Payments Bank,2023,1,389.61,96.32%,3.61%,0.07%,0.9,89.58%
Kotak Mahindra Bank,2023,1,371.3,94.43%,4.72%,0.85%,2.26,15.20%
Canara Bank,2023,1,369.95,93.21%,6.32%,0.47%,1.78,86.22%
Punjab National Bank,2023,1,364.04,92.81%,5.57%,1.62%,3.46,53.26%
Bank of India,2023,1,273.77,94.88%,4.50%,0.62%,1.33,75.07%
Indian Bank,2023,1,213.14,93.64%,5.59%,0.77%,1.04,84.56%
Airtel Payments Bank,2023,1,173.73,83.53%,15.88%,0.59%,0.83,97.11%
India Post Payment Bank,2023,1,159.78,68.12%,18.91%,12.96%,2.75,70.58%
Federal Bank,2023,1,133.32,94.54%,5.40%,0.06%,0.44,98.41%
Central Bank of India,2023,1,130.32,89.97%,8.88%,1.15%,1.24,78.08%
Indian Overseas Bank,2023,1,104.67,94.07%,5.14%,0.79%,0.48,95.90%
IDBI Bank,2023,1,104.4,93.90%,3.97%,2.13%,0.72,86.08%
Bank of Maharashtra,2023,1,94.74,94.02%,4.69%,1.29%,0.38,85.25%
UCO Bank,2023,1,92.46,93.03%,6.03%,0.94%,0.61,68.02%
YES Bank,2023,1,75.46,95.40%,3.91%,0.69%,0.18,91.05%
IndusInd Bank,2023,1,74.98,93.48%,6.05%,0.47%,0.35,90.69%
IDFC First Bank,2023,1,72.81,94.38%,4.82%,0.79%,0.34,58.42%
Karnataka Bank,2023,1,68.47,89.40%,9.21%,1.39%,0.25,77.61%
Fino Payments Bank,2023,1,68.27,79.03%,15.53%,5.44%,1.13,50.39%
Karur Vysya Bank,2023,1,43.55,92.38%,6.94%,0.68%,0.19,79.74%
Bandhan Bank,2023,1,35.86,85.78%,8.82%,5.40%,0.54,69.17%
South Indian Bank,2023,1,33.93,94.46%,5.26%,0.28%,0.11,87.34%
City Union Bank,2023,1,24.81,92.78%,6.38%,0.84%,0.11,97.29%
Jammu and Kashmir Bank,2023,1,24.02,91.59%,7.25%,1.16%,0.13,83.03%
Equitas Bank,2023,1,23.44,84.67%,13.00%,2.33%,0.14,64.32%
Ujjivan Small Finance Bank,2023,1,22.65,88.59%,6.97%,4.44%,0.21,49.41%
AU Small Finance Bank,2023,1,21.95,93.85%,6.01%,0.14%,0.1,97.88%
DBS Bank,2023,1,21.51,95.60%,4.31%,0.09%,0.07,93.93%
Tamilnad Mercantile Bank,2023,1,21.15,90.07%,8.34%,1.59%,0.11,54.00%
Punjab and Sind Bank,2023,1,20.36,82.29%,16.78%,0.94%,0.15,69.58%
Standard Chartered,2023,1,19.02,96.35%,2.67%,0.98%,0.1,84.74%
CITI Bank,2023,1,18.45,95.06%,4.04%,0.90%,0.07,93.43%
Andhra Pradesh Grameena Vikas Bank,2023,1,17.28,84.81%,11.32%,3.87%,0.11,44.79%
Pragathi Krishna Gramin Bank,2023,1,16.31,86.54%,12.68%,0.78%,0.09,92.02%
Maharashtra Gramin Bank,2023,1,16.24,79.69%,14.63%,5.68%,0.15,36.27%
