Sr.No.,UPI Beneficiary Banks,Year,Month,Total Volume (In Mn),Approved %,BD %	,	TD%,Deemed Approved %,Column 8
26,South Indian Bank,2022,12,22.97,98.69%,0.65%,0.62%,0.04%,
27,Bandhan Bank,2022,12,21.26,97.22%,0.37%,2.28%,0.12%,
28,Fino Payments Bank,2022,12,20.73,96.94%,2.12%,0.70%,0.24%,
29,AU Small Finance Bank,2022,12,16.42,97.82%,1.48%,0.58%,0.12%,
30,CITI Bank,2022,12,12.51,97.50%,0.00%,0.06%,0.14%,
31,City Union Bank,2022,12,13.7,98.57%,0.71%,0.61%,0.10%,
32,Tamilnad Mercantile Bank,2022,12,12.84,99.56%,0.26%,0.16%,0.02%,
33,Ujjivan Small Finance Bank,2022,12,12.02,94.27%,0.29%,4.84%,0.60%,
34,Equitas Bank,2022,12,11.67,97.34%,1.83%,0.72%,0.11%,
35,Punjab and Sind Bank,2022,12,9.67,94.60%,0.21%,4.85%,0.34%,
36,Pragathi Krishna Gramin Bank,2022,12,9.1,98.06%,0.44%,0.95%,0.55%,
37,Kerala Gramin Bank,2022,12,8.99,98.38%,0.76%,0.49%,0.37%,
38,Jammu and Kashmir Bank,2022,12,8.83,96.99%,0.59%,2.21%,0.21%,
39,Andhra Pradesh Grameena Vikas Bank,2022,12,8.72,97.46%,0.33%,1.81%,0.39%,
40,DBS Bank,2022,12,8.49,95.01%,1.34%,3.48%,0.17%,
41,ESAF Small Finance Bank Ltd,2022,12,7.11,98.28%,0.23%,1.41%,0.09%,
42,Maharashtra Gramin Bank,2022,12,7.11,97.08%,0.76%,1.80%,0.36%,
43,Rajasthan Marudhara Gramin Bank,2022,12,6.52,96.00%,0.31%,3.20%,0.49%,
44,RBL,2022,12,6.32,95.22%,1.40%,2.48%,0.90%,
45,Saraswat Bank,2022,12,6.23,99.18%,0.23%,0.44%,0.15%,
46,Andhra Pragathi Grameena Bank,2022,12,5.94,93.76%,0.99%,4.97%,0.28%,
47,Baroda U.P. Bank,2022,12,5.87,93.84%,2.39%,3.42%,0.35%,
48,Sarva Haryana Gramin Bank,2022,12,5.01,92.62%,0.49%,6.61%,0.29%,
49,Baroda Rajasthan Kshetriya Gramin Bank,2022,12,4.41,95.13%,2.39%,2.26%,0.22%,
50,Karnataka Vikas Grameena Bank,2022,12,4.01,97.40%,0.00%,2.19%,0.23%,
1,Paytm Payments Bank,2023,12,2835.27,99.90%,0.07%,0.03%,0.00%,
2,YES Bank,2023,12,2269.48,99.95%,0.04%,0.01%,0.00%,
3,State Bank of India,2023,12,1252.21,99.50%,0.19%,0.30%,0.07%,
4,Axis Bank,2023,12,967.52,99.90%,0.09%,0.01%,0.01%,
5,ICICI Bank,2023,12,647.97,99.36%,0.48%,0.16%,0.07%,
6,HDFC Bank,2023,12,549.41,97.80%,2.13%,0.06%,0.05%,
7,Bank of Baroda,2023,12,333.64,99.32%,0.25%,0.43%,0.13%,
8,Union Bank of India,2023,12,326.55,99.49%,0.19%,0.33%,0.26%,
9,Federal Bank,2023,12,291.79,99.65%,0.29%,0.06%,0.00%,
10,Punjab National Bank,2023,12,270.17,99.41%,0.51%,0.08%,0.11%,
11,Canara Bank,2023,12,268.75,99.06%,0.67%,0.27%,0.12%,
12,Kotak Mahindra Bank,2023,12,233.06,99.28%,0.46%,0.26%,0.22%,
13,Indian Bank,2023,12,182.11,98.93%,0.67%,0.40%,0.04%,
14,Bank of India,2023,12,179.9,99.58%,0.24%,0.17%,0.08%,
15,Airtel Payments Bank,2023,12,174.41,97.63%,0.43%,1.94%,0.59%,
16,IndusInd Bank,2023,12,135.25,99.07%,0.34%,0.59%,0.50%,
17,India Post Payment Bank,2023,12,108.03,96.76%,0.37%,2.87%,0.25%,
18,Central Bank of India,2023,12,85.35,98.70%,0.51%,0.80%,0.45%,
19,Indian Overseas Bank,2023,12,75.21,98.44%,0.32%,1.23%,0.50%,
20,UCO Bank,2023,12,73.18,98.84%,0.68%,0.48%,0.11%,
21,IDBI Bank,2023,12,62.13,98.98%,0.43%,0.59%,0.15%,
22,RBL,2023,12,55.75,91.43%,0.30%,8.27%,0.41%,
23,Bank of Maharashtra,2023,12,52.68,98.84%,0.28%,0.88%,0.15%,
24,Fino Payments Bank,2023,12,50.18,97.67%,1.33%,1.00%,0.05%,
25,IDFC First Bank,2023,12,47.49,98.43%,1.53%,0.04%,0.03%,
26,Karnataka Bank,2023,12,42.03,98.09%,0.54%,1.37%,0.23%,
27,South Indian Bank,2023,12,31.89,99.52%,0.41%,0.07%,0.01%,
28,Karur Vysya Bank,2023,12,31.85,98.07%,1.58%,0.35%,0.04%,
29,Bandhan Bank,2023,12,28.2,98.57%,0.43%,1.00%,0.00%,
30,AU Small Finance Bank,2023,12,24.92,96.89%,2.38%,0.73%,0.36%,
31,Tamilnad Mercantile Bank,2023,12,19.9,99.35%,0.19%,0.47%,0.03%,
32,Ujjivan Small Finance Bank,2023,12,19.06,98.60%,0.82%,0.59%,0.26%,
33,City Union Bank,2023,12,18.56,98.56%,1.13%,0.31%,0.05%,
34,Jammu and Kashmir Bank,2023,12,17.46,97.22%,0.37%,2.41%,1.04%,
35,Tri O Tech Solutions Private Limited,2023,12,16.54,95.50%,4.49%,0.01%,0.00%,
36,Kerala Gramin Bank,2023,12,14.38,99.62%,0.25%,0.12%,0.15%,
37,Punjab and Sind Bank,2023,12,14.18,97.23%,0.45%,2.32%,0.95%,
38,Equitas Bank,2023,12,12.95,97.93%,1.91%,0.15%,0.01%,
39,Pragathi Krishna Gramin Bank,2023,12,12.34,99.42%,0.42%,0.17%,0.20%,
40,Andhra Pradesh Grameena Vikas Bank,2023,12,11.92,98.71%,0.97%,0.32%,0.07%,
41,Baroda U.P. Bank,2023,12,10.8,71.76%,0.67%,27.57%,10.95%,
42,Maharashtra Gramin Bank,2023,12,10.4,96.73%,0.28%,2.99%,0.17%,
43,DBS Bank,2023,12,10.08,98.53%,1.44%,0.03%,0.03%,
44,ESAF Small Finance Bank Ltd,2023,12,10.01,99.62%,0.13%,0.24%,0.11%,
45,Rajasthan Marudhara Gramin Bank,2023,12,9.36,98.92%,0.50%,0.58%,0.10%,
46,One Mobikwik Systems Limited,2023,12,8.95,99.65%,0.00%,0.35%,0.01%,
47,Andhra Pragathi Grameena Bank,2023,12,7.8,95.75%,1.02%,3.22%,0.18%,
48,Saraswat Bank,2023,12,7.54,99.25%,0.19%,0.56%,0.18%,
49,CITI Bank,2023,12,7.31,99.82%,0.00%,0.18%,0.22%,
50,Fincare Small Finance Bank,2023,12,7.26,95.90%,1.92%,2.17%,0.01%,
1,Paytm Payments Bank,2022,2,980.72,99.71%,0.27%,0.01%,0.01%,
2,State Bank of India,2022,2,618.15,97.84%,0.37%,1.32%,0.47%,
3,YES Bank,2022,2,583.5,99.89%,0.09%,0.01%,0.01%,
4,Axis Bank,2022,2,338.97,99.64%,0.23%,0.03%,0.10%,
5,ICICI Bank,2022,2,291.95,98.84%,0.93%,0.17%,0.07%,
6,HDFC Bank,2022,2,238.45,98.75%,1.12%,0.06%,0.08%,
7,Bank of Baroda,2022,2,160.4,98.94%,0.39%,0.39%,0.28%,
8,Union Bank of India,2022,2,154.66,98.96%,0.47%,0.22%,0.34%,
9,Canara Bank,2022,2,121.04,99.09%,0.79%,0.06%,0.07%,
10,Punjab National Bank,2022,2,112.52,98.26%,0.58%,0.87%,0.29%,
11,Bank of India,2022,2,95.11,98.27%,0.44%,0.82%,0.48%,
12,Federal Bank,2022,2,93.08,99.56%,0.23%,0.15%,0.06%,
13,Kotak Mahindra Bank,2022,2,92.4,98.27%,0.75%,0.12%,0.85%,
14,Indian Bank,2022,2,62.84,90.27%,4.47%,3.51%,1.75%,
15,Airtel Payments Bank,2022,2,51.15,98.59%,0.74%,0.40%,0.27%,
16,Central Bank of India,2022,2,51.07,98.18%,0.69%,0.36%,0.77%,
17,IndusInd Bank,2022,2,43.7,98.97%,0.45%,0.24%,0.33%,
18,IDBI Bank,2022,2,37.88,99.28%,0.57%,0.10%,0.05%,
19,Indian Overseas Bank,2022,2,33.13,98.98%,0.44%,0.21%,0.37%,
20,Bank of Maharashtra,2022,2,29.8,98.87%,0.30%,0.66%,0.17%,
21,UCO Bank,2022,2,28.27,98.72%,0.50%,0.40%,0.37%,
22,Karnataka Bank,2022,2,24.19,98.27%,0.71%,0.67%,0.35%,
23,India Post Payment Bank,2022,2,23.37,98.17%,0.40%,1.05%,0.38%,
24,Karur Vysya Bank,2022,2,18.61,99.19%,0.46%,0.22%,0.13%,
25,IDFC First Bank,2022,2,18.0,98.42%,0.88%,0.55%,0.16%,
26,South Indian Bank,2022,2,13.61,99.39%,0.44%,0.15%,0.01%,
27,Bandhan Bank,2022,2,13.22,98.44%,0.65%,0.82%,0.09%,
28,CITI Bank,2022,2,11.19,99.34%,0.64%,0.02%,0.00%,
29,Fino Payments Bank,2022,2,9.9,95.14%,2.65%,2.14%,0.07%,
30,AU Small Finance Bank,2022,2,9.8,97.76%,2.06%,0.06%,0.12%,
31,City Union Bank,2022,2,9.09,98.17%,1.17%,0.56%,0.11%,
32,DBS Bank,2022,2,8.21,98.23%,1.52%,0.16%,0.09%,
33,Equitas Bank,2022,2,7.27,97.87%,1.01%,0.87%,0.24%,
34,Tamilnad Mercantile Bank,2022,2,7.2,98.68%,0.67%,0.25%,0.39%,
35,Ujjivan Small Finance Bank,2022,2,7.03,96.68%,0.42%,1.54%,1.36%,
36,Pragathi Krishna Gramin Bank,2022,2,6.42,97.58%,0.31%,1.27%,0.85%,
37,Andhra Pradesh Grameena Vikas Bank,2022,2,5.9,97.15%,0.20%,2.03%,0.63%,
38,Maharashtra Gramin Bank,2022,2,5.49,91.33%,0.22%,7.92%,0.53%,
39,Punjab and Sind Bank,2022,2,5.26,94.80%,0.40%,4.07%,0.73%,
40,Kerala Gramin Bank,2022,2,4.83,98.85%,0.29%,0.56%,0.30%,
41,Saraswat Bank,2022,2,4.66,98.47%,0.33%,0.81%,0.40%,
42,Rajasthan Marudhara Gramin Bank,2022,2,4.2,96.33%,0.27%,1.64%,1.76%,
43,Jammu and Kashmir Bank,2022,2,4.13,95.53%,1.72%,2.27%,0.48%,
44,RBL,2022,2,4.11,97.54%,2.01%,0.25%,0.20%,
45,ESAF Small Finance Bank Ltd,2022,2,4.11,98.03%,0.33%,1.52%,0.11%,
46,Andhra Pragathi Grameena Bank,2022,2,4.04,94.63%,1.43%,2.15%,1.79%,
47,Baroda Rajasthan Kshetriya Gramin Bank,2022,2,3.53,89.65%,1.92%,5.63%,2.81%,
48,Sarva Haryana Gramin Bank,2022,2,3.44,87.60%,1.14%,10.72%,0.53%,
49,Baroda U.P. Bank,2022,2,3.2,87.81%,6.05%,4.66%,1.48%,
50,Karnataka Vikas Grameena Bank,2022,2,3.03,96.71%,0.23%,2.16%,0.89%,
1,Paytm Payments Bank,2023,2,1657.41,99.76%,0.21%,0.02%,0.01%,
2,YES Bank,2023,2,1186.1,99.85%,0.11%,0.03%,0.01%,
3,State Bank of India,2023,2,855.15,96.01%,0.26%,3.40%,0.33%,
4,ICICI Bank,2023,2,528.24,99.55%,0.30%,0.11%,0.04%,
5,Axis Bank,2023,2,516.94,99.83%,0.14%,0.01%,0.02%,
6,HDFC Bank,2023,2,379.92,99.19%,0.63%,0.09%,0.09%,
7,Bank of Baroda,2023,2,236.71,98.48%,0.41%,0.95%,0.16%,
8,Union Bank of India,2023,2,227.08,98.78%,0.23%,0.66%,0.33%,
9,Canara Bank,2023,2,176.74,99.31%,0.00%,0.57%,0.12%,
10,Punjab National Bank,2023,2,171.55,99.19%,0.44%,0.18%,0.18%,
11,Federal Bank,2023,2,168.8,99.44%,0.31%,0.23%,0.02%,
12,Kotak Mahindra Bank,2023,2,162.23,98.34%,0.57%,0.49%,0.60%,
13,Bank of India,2023,2,129.73,99.45%,0.29%,0.18%,0.08%,
14,Airtel Payments Bank,2023,2,100.18,98.73%,0.27%,0.76%,0.25%,
15,Indian Bank,2023,2,99.83,98.27%,0.39%,1.06%,0.28%,
16,IndusInd Bank,2023,2,69.51,99.50%,0.25%,0.15%,0.11%,
17,Central Bank of India,2023,2,62.78,98.27%,0.72%,0.62%,0.39%,
18,India Post Payment Bank,2023,2,58.5,84.59%,1.48%,11.82%,2.11%,
19,Indian Overseas Bank,2023,2,50.96,99.49%,0.25%,0.10%,0.16%,
20,IDBI Bank,2023,2,47.42,98.37%,0.45%,1.04%,0.14%,
21,IDFC First Bank,2023,2,45.95,93.43%,1.80%,4.07%,0.70%,
22,UCO Bank,2023,2,44.98,98.61%,0.71%,0.59%,0.08%,
23,Bank of Maharashtra,2023,2,37.78,98.86%,0.30%,0.65%,0.20%,
24,Karnataka Bank,2023,2,29.54,96.64%,0.88%,2.27%,0.21%,
25,Karur Vysya Bank,2023,2,24.17,98.57%,0.55%,0.72%,0.17%,
26,Fino Payments Bank,2023,2,21.97,92.06%,1.98%,4.49%,1.47%,
27,South Indian Bank,2023,2,21.6,99.06%,0.26%,0.56%,0.12%,
28,Bandhan Bank,2023,2,20.09,96.53%,0.50%,2.66%,0.31%,
29,AU Small Finance Bank,2023,2,15.82,98.24%,1.71%,0.05%,0.01%,
30,City Union Bank,2023,2,13.11,98.56%,0.82%,0.53%,0.09%,
31,Tamilnad Mercantile Bank,2023,2,12.46,98.29%,0.36%,1.24%,0.10%,
32,Ujjivan Small Finance Bank,2023,2,11.51,98.64%,0.40%,0.74%,0.23%,
33,Equitas Bank,2023,2,11.17,97.15%,2.64%,0.19%,0.02%,
34,CITI Bank,2023,2,11.09,99.67%,0.00%,0.15%,0.18%,
35,Jammu and Kashmir Bank,2023,2,9.04,96.05%,0.53%,3.19%,0.23%,
36,Punjab and Sind Bank,2023,2,9.03,99.18%,0.23%,0.50%,0.10%,
37,Kerala Gramin Bank,2023,2,8.73,99.42%,0.19%,0.18%,0.22%,
38,Pragathi Krishna Gramin Bank,2023,2,8.39,98.70%,0.34%,0.62%,0.34%,
39,DBS Bank,2023,2,8.3,98.10%,1.49%,0.26%,0.16%,
40,Andhra Pradesh Grameena Vikas Bank,2023,2,8.06,95.05%,0.30%,3.77%,0.88%,
41,RBL,2023,2,7.24,98.78%,1.12%,0.09%,0.02%,
42,Maharashtra Gramin Bank,2023,2,7.17,97.62%,1.03%,1.09%,0.27%,
43,ESAF Small Finance Bank Ltd,2023,2,6.66,99.15%,0.18%,0.56%,0.11%,
44,Rajasthan Marudhara Gramin Bank,2023,2,6.66,93.33%,0.43%,5.95%,0.29%,
45,Baroda U.P. Bank,2023,2,6.22,94.98%,2.40%,2.42%,0.20%,
46,Saraswat Bank,2023,2,5.83,97.57%,0.29%,2.09%,0.05%,
47,Andhra Pragathi Grameena Bank,2023,2,5.66,91.88%,0.81%,7.12%,0.19%,
48,Sarva Haryana Gramin Bank,2023,2,4.75,92.46%,0.67%,5.81%,1.06%,
49,Baroda Rajasthan Kshetriya Gramin Bank,2023,2,4.29,92.30%,2.45%,4.80%,0.45%,
50,Karnataka Vikas Grameena Bank,2023,2,3.73,93.60%,0.24%,5.70%,0.46%,
1,Paytm Payments Bank,2024,2,2543.04,99.90%,0.08%,0.02%,0.00%,
2,YES Bank,2024,2,2408.99,99.95%,0.03%,0.01%,0.00%,
3,State Bank of India,2024,2,1350.11,98.92%,0.14%,0.93%,0.09%,
4,Axis Bank,2024,2,1029.01,99.91%,0.08%,0.01%,0.02%,
5,ICICI Bank,2024,2,620.78,99.21%,0.67%,0.12%,0.10%,
6,HDFC Bank,2024,2,553.52,98.17%,1.46%,0.37%,0.14%,
7,Bank of Baroda,2024,2,336.67,99.14%,0.32%,0.54%,0.52%,
8,Union Bank of India,2024,2,322.91,98.90%,0.13%,0.97%,0.43%,
9,Federal Bank,2024,2,316.08,99.47%,0.32%,0.21%,0.02%,
10,Punjab National Bank,2024,2,278.27,99.57%,0.33%,0.11%,0.12%,
11,Canara Bank,2024,2,272.27,98.49%,1.23%,0.29%,0.17%,
12,Kotak Mahindra Bank,2024,2,242.32,98.58%,0.40%,1.01%,0.53%,
13,Airtel Payments Bank,2024,2,200.32,99.35%,0.33%,0.32%,0.03%,
14,Indian Bank,2024,2,197.87,98.92%,0.88%,0.20%,0.04%,
15,Bank of India,2024,2,180.38,99.11%,0.23%,0.66%,0.18%,
16,IndusInd Bank,2024,2,134.71,99.25%,0.31%,0.44%,0.21%,
17,India Post Payment Bank,2024,2,119.59,97.46%,0.38%,2.16%,0.26%,
18,Central Bank of India,2024,2,84.86,94.84%,0.45%,4.71%,1.23%,
19,Indian Overseas Bank,2024,2,78.84,98.46%,0.47%,1.07%,0.45%,
20,UCO Bank,2024,2,74.07,99.21%,0.70%,0.08%,0.04%,
21,IDBI Bank,2024,2,60.85,93.78%,0.54%,5.67%,0.93%,
22,Bank of Maharashtra,2024,2,54.57,96.19%,0.21%,3.60%,0.32%,
23,RBL,2024,2,52.57,94.24%,0.42%,5.34%,0.49%,
24,Fino Payments Bank,2024,2,48.84,98.31%,1.31%,0.38%,0.15%,
25,Karnataka Bank,2024,2,41.82,98.27%,1.00%,0.73%,0.04%,
26,IDFC First Bank,2024,2,35.13,98.05%,1.85%,0.10%,0.04%,
27,Karur Vysya Bank,2024,2,31.92,98.60%,1.16%,0.23%,0.06%,
28,South Indian Bank,2024,2,29.77,97.88%,2.10%,0.02%,0.01%,
29,Bandhan Bank,2024,2,29.22,96.68%,0.23%,3.09%,0.23%,
30,AU Small Finance Bank,2024,2,26.6,96.28%,3.33%,0.39%,0.10%,
31,Tamilnad Mercantile Bank,2024,2,21.42,99.35%,0.17%,0.48%,0.04%,
32,Jammu and Kashmir Bank,2024,2,20.34,99.07%,0.45%,0.48%,0.46%,
33,Ujjivan Small Finance Bank,2024,2,19.51,98.59%,1.02%,0.39%,0.25%,
34,City Union Bank,2024,2,19.3,97.55%,2.13%,0.32%,0.02%,
35,Tri O Tech Solutions Private Limited,2024,2,18.51,96.17%,3.80%,0.03%,0.01%,
36,One Mobikwik Systems Limited,2024,2,15.24,99.99%,0.00%,0.01%,0.00%,
37,Punjab and Sind Bank,2024,2,14.14,96.07%,1.14%,2.79%,0.61%,
38,Kerala Gramin Bank,2024,2,14.01,97.80%,0.25%,1.96%,0.97%,
39,Equitas Bank,2024,2,13.15,97.90%,1.85%,0.25%,0.01%,
40,Andhra Pradesh Grameena Vikas Bank,2024,2,12.36,98.38%,1.23%,0.40%,0.14%,
41,DBS Bank,2024,2,12.03,98.53%,1.21%,0.26%,0.12%,
42,Pragathi Krishna Gramin Bank,2024,2,11.61,97.30%,0.61%,2.09%,1.18%,
43,Jio Payments Bank,2024,2,11.33,99.39%,0.26%,0.36%,0.27%,
44,CITI Bank,2024,2,10.68,99.84%,0.00%,0.16%,0.24%,
45,Maharashtra Gramin Bank,2024,2,10.56,98.15%,0.32%,1.53%,0.17%,
46,Rajasthan Marudhara Gramin Bank,2024,2,10.31,98.04%,0.40%,1.55%,0.13%,
47,ESAF Small Finance Bank Ltd,2024,2,10.16,97.11%,0.11%,2.78%,0.38%,
48,Baroda U.P. Bank,2024,2,9.18,92.84%,0.82%,6.34%,1.71%,
49,Fincare Small Finance Bank,2024,2,8.55,96.27%,3.29%,0.44%,0.09%,
50,Andhra Pragathi Grameena Bank,2024,2,8.07,98.57%,0.45%,0.98%,0.04%,
1,Paytm Payments Bank,2022,1,957.39,99.27%,0.69%,0.04%,0.01%,
2,State Bank of India,2022,1,647.8,98.59%,0.50%,0.77%,0.14%,
3,YES Bank,2022,1,593.69,99.91%,0.06%,0.02%,0.01%,
4,ICICI Bank,2022,1,378.39,99.07%,0.78%,0.04%,0.12%,
5,Axis Bank,2022,1,353.13,99.51%,0.44%,0.00%,0.05%,
6,HDFC Bank,2022,1,246.23,98.41%,1.35%,0.06%,0.17%,
7,Bank of Baroda,2022,1,161.69,99.20%,0.47%,0.13%,0.20%,
8,Union Bank of India,2022,1,157.03,98.87%,0.63%,0.16%,0.35%,
9,Canara Bank,2022,1,122.3,98.63%,0.97%,0.25%,0.14%,
10,Punjab National Bank,2022,1,114.09,98.30%,0.71%,0.63%,0.37%,
11,Bank of India,2022,1,99.09,97.88%,0.67%,1.08%,0.37%,
12,Kotak Mahindra Bank,2022,1,94.65,98.61%,1.22%,0.03%,0.14%,
13,Federal Bank,2022,1,90.94,98.89%,0.26%,0.69%,0.16%,
14,Indian Bank,2022,1,62.69,92.59%,3.98%,1.67%,1.75%,
15,Central Bank of India,2022,1,52.47,97.24%,0.78%,0.70%,1.29%,
16,Airtel Payments Bank,2022,1,50.67,97.93%,0.79%,0.95%,0.33%,
17,IndusInd Bank,2022,1,41.99,98.24%,0.71%,0.22%,0.82%,
18,IDBI Bank,2022,1,38.58,98.84%,0.76%,0.22%,0.18%,
19,Indian Overseas Bank,2022,1,33.42,99.21%,0.58%,0.09%,0.13%,
20,Bank of Maharashtra,2022,1,30.65,99.00%,0.37%,0.45%,0.18%,
21,UCO Bank,2022,1,28.06,97.52%,1.27%,0.74%,0.47%,
22,IDFC First Bank,2022,1,24.19,98.20%,1.02%,0.29%,0.49%,
23,Karnataka Bank,2022,1,23.95,97.13%,0.79%,1.41%,0.67%,
24,India Post Payment Bank,2022,1,22.84,97.61%,0.50%,0.99%,0.90%,
25,Karur Vysya Bank,2022,1,18.68,98.84%,0.58%,0.36%,0.22%,
26,South Indian Bank,2022,1,13.71,99.03%,0.72%,0.22%,0.02%,
27,Bandhan Bank,2022,1,13.17,98.07%,0.78%,1.00%,0.15%,
28,CITI Bank,2022,1,12.15,98.54%,1.43%,0.02%,0.00%,
29,AU Small Finance Bank,2022,1,9.54,98.61%,0.88%,0.23%,0.28%,
30,Fino Payments Bank,2022,1,9.41,94.59%,3.54%,1.81%,0.06%,
31,City Union Bank,2022,1,9.21,96.00%,1.33%,2.41%,0.26%,
32,DBS Bank,2022,1,8.68,95.63%,3.44%,0.65%,0.27%,
33,Equitas Bank,2022,1,7.12,97.83%,1.38%,0.67%,0.12%,
34,Ujjivan Small Finance Bank,2022,1,7.12,97.29%,0.51%,1.22%,0.98%,
35,Tamilnad Mercantile Bank,2022,1,7.03,98.59%,0.64%,0.38%,0.39%,
36,Pragathi Krishna Gramin Bank,2022,1,6.4,99.09%,0.31%,0.19%,0.41%,
37,Andhra Pradesh Grameena Vikas Bank,2022,1,6.04,90.63%,0.16%,6.25%,2.96%,
38,Maharashtra Gramin Bank,2022,1,5.52,97.32%,0.36%,1.35%,0.97%,
39,Punjab and Sind Bank,2022,1,5.22,99.05%,0.59%,0.29%,0.08%,
40,Saraswat Bank,2022,1,4.93,98.97%,0.68%,0.24%,0.11%,
41,Kerala Gramin Bank,2022,1,4.88,99.37%,0.36%,0.12%,0.15%,
42,RBL,2022,1,4.34,96.76%,3.15%,0.05%,0.05%,
43,Rajasthan Marudhara Gramin Bank,2022,1,4.27,92.64%,0.36%,4.16%,2.83%,
44,ESAF Small Finance Bank Ltd,2022,1,4.22,96.17%,0.38%,3.26%,0.20%,
45,Andhra Pragathi Grameena Bank,2022,1,4.12,94.82%,0.29%,2.57%,2.31%,
46,Jammu and Kashmir Bank,2022,1,4.05,97.07%,1.73%,1.10%,0.11%,
47,Sarva Haryana Gramin Bank,2022,1,3.47,87.71%,1.02%,11.02%,0.25%,
48,Baroda Rajasthan Kshetriya Gramin Bank,2022,1,3.43,96.13%,2.10%,1.00%,0.77%,
49,Karnataka Vikas Grameena Bank,2022,1,3.14,97.09%,0.88%,1.04%,0.99%,
50,Standard Chartered,2022,1,3.05,95.83%,2.67%,1.23%,0.28%,
1,Paytm Payments Bank,2023,1,1765.87,99.73%,0.24%,0.02%,0.01%,
2,YES Bank,2023,1,1463.71,99.81%,0.08%,0.11%,0.02%,
3,State Bank of India,2023,1,931.08,98.52%,0.22%,1.09%,0.17%,
4,Axis Bank,2023,1,557.09,99.82%,0.11%,0.05%,0.02%,
5,ICICI Bank,2023,1,554.66,98.92%,0.34%,0.68%,0.05%,
6,HDFC Bank,2023,1,401.11,99.15%,0.59%,0.20%,0.06%,
7,Bank of Baroda,2023,1,247.34,98.89%,0.28%,0.45%,0.37%,
8,Union Bank of India,2023,1,241.58,99.47%,0.24%,0.20%,0.09%,
9,Canara Bank,2023,1,186.89,99.37%,0.32%,0.22%,0.09%,
10,Federal Bank,2023,1,178.23,99.72%,0.27%,0.01%,0.00%,
11,Punjab National Bank,2023,1,176.63,98.41%,0.47%,0.93%,0.20%,
12,Kotak Mahindra Bank,2023,1,170.88,98.84%,0.50%,0.36%,0.30%,
13,Bank of India,2023,1,138.67,99.22%,0.25%,0.41%,0.11%,
14,Airtel Payments Bank,2023,1,108.8,98.80%,0.45%,0.45%,0.30%,
15,Indian Bank,2023,1,104.4,99.10%,0.29%,0.45%,0.17%,
16,IndusInd Bank,2023,1,69.86,99.21%,0.31%,0.42%,0.06%,
17,India Post Payment Bank,2023,1,67.23,88.28%,1.39%,9.93%,0.40%,
18,Central Bank of India,2023,1,65.86,98.48%,0.59%,0.48%,0.45%,
19,Indian Overseas Bank,2023,1,53.55,99.27%,0.24%,0.28%,0.21%,
20,IDBI Bank,2023,1,50.98,98.37%,0.39%,0.98%,0.27%,
21,IDFC First Bank,2023,1,49.12,97.50%,1.28%,0.95%,0.27%,
22,UCO Bank,2023,1,47.69,98.37%,0.76%,0.72%,0.15%,
23,Bank of Maharashtra,2023,1,40.78,97.54%,0.31%,1.96%,0.19%,
24,Karnataka Bank,2023,1,32.13,97.12%,0.72%,2.09%,0.07%,
25,Karur Vysya Bank,2023,1,25.9,99.00%,0.47%,0.43%,0.10%,
26,Fino Payments Bank,2023,1,23.15,93.70%,1.96%,3.42%,0.92%,
27,South Indian Bank,2023,1,22.95,99.31%,0.47%,0.19%,0.03%,
28,Bandhan Bank,2023,1,21.74,94.22%,0.48%,4.97%,0.33%,
29,AU Small Finance Bank,2023,1,16.74,98.23%,1.67%,0.10%,0.01%,
30,City Union Bank,2023,1,13.81,98.68%,0.72%,0.52%,0.08%,
31,Tamilnad Mercantile Bank,2023,1,13.05,97.42%,0.84%,1.56%,0.18%,
32,CITI Bank,2023,1,12.32,99.80%,0.00%,0.06%,0.14%,
33,Ujjivan Small Finance Bank,2023,1,12.16,95.24%,0.30%,4.01%,0.45%,
34,Equitas Bank,2023,1,11.81,95.43%,2.40%,1.97%,0.20%,
35,Punjab and Sind Bank,2023,1,9.2,99.06%,0.21%,0.57%,0.16%,
36,Kerala Gramin Bank,2023,1,9.19,98.94%,0.47%,0.30%,0.28%,
37,Pragathi Krishna Gramin Bank,2023,1,9.08,99.04%,0.40%,0.29%,0.28%,
38,Jammu and Kashmir Bank,2023,1,8.93,98.78%,0.52%,0.66%,0.04%,
39,DBS Bank,2023,1,8.93,98.35%,1.49%,0.03%,0.13%,
40,Andhra Pradesh Grameena Vikas Bank,2023,1,8.77,97.47%,0.12%,1.97%,0.43%,
41,Maharashtra Gramin Bank,2023,1,7.54,97.16%,0.64%,1.79%,0.40%,
42,ESAF Small Finance Bank Ltd,2023,1,7.13,99.08%,0.19%,0.69%,0.04%,
43,RBL,2023,1,6.98,97.73%,1.33%,0.78%,0.16%,
44,Rajasthan Marudhara Gramin Bank,2023,1,6.82,95.99%,0.39%,3.23%,0.40%,
45,Baroda U.P. Bank,2023,1,6.53,88.73%,2.25%,8.17%,0.84%,
46,Saraswat Bank,2023,1,6.22,99.31%,0.23%,0.39%,0.08%,
47,Andhra Pragathi Grameena Bank,2023,1,5.78,97.24%,0.56%,2.12%,0.08%,
48,Sarva Haryana Gramin Bank,2023,1,5.07,90.27%,0.67%,8.79%,0.27%,
49,Baroda Rajasthan Kshetriya Gramin Bank,2023,1,4.64,90.05%,2.30%,6.84%,0.81%,
